,epoch,batch,group,sample,step,log_prob_new,log_prob_old,importance_ratio,clipped_ratio,kl_loss,reward,advantage,loss_clip,loss_base,loss_total,gradient,sampling_epoch
0,0,2,0,0,0,-7.937089443206787,-7.937089443206787,1.0,1.0,0.0,0.01611773483455181,-0.4445958733558655,-0.4445958733558655,0.4445958733558655,0.08891917765140533,0.02480401914392966,0
1,0,2,0,0,1,-7.973647117614746,-7.973647117614746,1.0,1.0,0.0,0.01611773483455181,-0.4445958733558655,-0.4445958733558655,0.4445958733558655,0.08891917765140533,0.04894394219926281,0
2,0,2,0,0,2,-7.947957992553711,-7.947957992553711,1.0,1.0,0.0,0.01611773483455181,-0.4445958733558655,-0.4445958733558655,0.4445958733558655,0.08891917765140533,0.07282631084508254,0
3,0,2,0,0,3,-7.9793853759765625,-7.9793853759765625,1.0,1.0,0.0,0.01611773483455181,-0.4445958733558655,-0.4445958733558655,0.4445958733558655,0.08891917765140533,0.0963763513040946,0
4,0,2,0,0,4,-7.96797513961792,-7.96797513961792,1.0,1.0,0.0,0.01611773483455181,-0.4445958733558655,-0.4445958733558655,0.4445958733558655,0.08891917765140533,0.11899637663603507,0
5,0,2,0,0,5,-7.963346481323242,-7.963346481323242,1.0,1.0,0.0,0.01611773483455181,-0.4445958733558655,-0.4445958733558655,0.4445958733558655,0.08891917765140533,0.14128735988125038,0
6,0,2,0,0,6,-7.949952602386475,-7.949952602386475,1.0,1.0,0.0,0.01611773483455181,-0.4445958733558655,-0.4445958733558655,0.4445958733558655,0.08891917765140533,0.16278499983710698,0
7,0,2,0,0,7,-7.955395698547363,-7.955395698547363,1.0,1.0,0.0,0.01611773483455181,-0.4445958733558655,-0.4445958733558655,0.4445958733558655,0.08891917765140533,0.18440659484024696,0
8,0,2,0,0,8,-7.997121334075928,-7.997121334075928,1.0,1.0,0.0,0.01611773483455181,-0.4445958733558655,-0.4445958733558655,0.4445958733558655,0.08891917765140533,0.20557451332956547,0
9,0,2,0,0,9,-7.950579643249512,-7.950579643249512,1.0,1.0,0.0,0.01611773483455181,-0.4445958733558655,-0.4445958733558655,0.4445958733558655,0.08891917765140533,0.22623308926792168,0
10,0,2,0,0,10,-7.979394435882568,-7.979394435882568,1.0,1.0,0.0,0.01611773483455181,-0.4445958733558655,-0.4445958733558655,0.4445958733558655,0.08891917765140533,0.24636609686662037,0
11,0,2,0,0,11,-7.980136871337891,-7.980136871337891,1.0,1.0,0.0,0.01611773483455181,-0.4445958733558655,-0.4445958733558655,0.4445958733558655,0.08891917765140533,0.2661752748557855,0
12,0,2,0,0,12,-8.027267456054688,-8.027267456054688,1.0,1.0,0.0,0.01611773483455181,-0.4445958733558655,-0.4445958733558655,0.4445958733558655,0.08891917765140533,0.285454407180306,0
13,0,2,0,0,13,-7.9702277183532715,-7.9702277183532715,1.0,1.0,0.0,0.01611773483455181,-0.4445958733558655,-0.4445958733558655,0.4445958733558655,0.08891917765140533,0.30422052537413663,0
14,0,2,0,0,14,-7.995328426361084,-7.995328426361084,1.0,1.0,0.0,0.01611773483455181,-0.4445958733558655,-0.4445958733558655,0.4445958733558655,0.08891917765140533,0.32263557134036736,0
15,0,2,0,0,15,-7.947320461273193,-7.947320461273193,1.0,1.0,0.0,0.01611773483455181,-0.4445958733558655,-0.4445958733558655,0.4445958733558655,0.08891917765140533,0.34050702012318285,0
16,0,2,0,0,16,-7.992396354675293,-7.992396354675293,1.0,1.0,0.0,0.01611773483455181,-0.4445958733558655,-0.4445958733558655,0.4445958733558655,0.08891917765140533,0.3582481628263787,0
17,0,2,0,0,17,-7.934348106384277,-7.934348106384277,1.0,1.0,0.0,0.01611773483455181,-0.4445958733558655,-0.4445958733558655,0.4445958733558655,0.08891917765140533,0.3758832468091873,0
18,0,2,0,0,18,-7.946968078613281,-7.946968078613281,1.0,1.0,0.0,0.01611773483455181,-0.4445958733558655,-0.4445958733558655,0.4445958733558655,0.08891917765140533,0.3927270335673417,0
19,0,2,0,0,19,-7.941583156585693,-7.941583156585693,1.0,1.0,0.0,0.01611773483455181,-0.4445958733558655,-0.4445958733558655,0.4445958733558655,0.08891917765140533,0.4090332881250339,0
20,0,2,0,0,20,-7.965356826782227,-7.965356826782227,1.0,1.0,0.0,0.01611773483455181,-0.4445958733558655,-0.4445958733558655,0.4445958733558655,0.08891917765140533,0.42558453373981947,0
21,0,2,0,0,21,-8.013980865478516,-8.013980865478516,1.0,1.0,0.0,0.01611773483455181,-0.4445958733558655,-0.4445958733558655,0.4445958733558655,0.08891917765140533,0.4416737509548282,0
22,0,2,0,0,22,-7.903016567230225,-7.903016567230225,1.0,1.0,0.0,0.01611773483455181,-0.4445958733558655,-0.4445958733558655,0.4445958733558655,0.08891917765140533,0.45768520390332046,0
23,0,2,0,0,23,-7.945712089538574,-7.945712089538574,1.0,1.0,0.0,0.01611773483455181,-0.4445958733558655,-0.4445958733558655,0.4445958733558655,0.08891917765140533,0.4737259433217518,0
24,0,2,0,0,24,-7.877128601074219,-7.877128601074219,1.0,1.0,0.0,0.01611773483455181,-0.4445958733558655,-0.4445958733558655,0.4445958733558655,0.08891917765140533,0.48951489945707777,0
25,0,2,0,0,25,-7.863889217376709,-7.863889217376709,1.0,1.0,0.0,0.01611773483455181,-0.4445958733558655,-0.4445958733558655,0.4445958733558655,0.08891917765140533,0.5052768200951302,0
26,0,2,0,0,26,-7.902369499206543,-7.902369499206543,1.0,1.0,0.0,0.01611773483455181,-0.4445958733558655,-0.4445958733558655,0.4445958733558655,0.08891917765140533,0.5209299736631315,0
