,epoch,batch,group,sample,step,log_prob_new,log_prob_old,importance_ratio,clipped_ratio,kl_loss,reward,advantage,loss_clip,loss_base,loss_total,gradient,sampling_epoch
0,0,0,0,0,0,-7.962550640106201,-7.962550640106201,1.0,1.0,0.0,0.013614519499242306,-0.4475494921207428,-0.4475494921207428,0.4475494921207428,0.08950989693403244,0.0251448576197691,0
1,0,0,0,0,1,-7.953783988952637,-7.953783988952637,1.0,1.0,0.0,0.013614519499242306,-0.4475494921207428,-0.4475494921207428,0.4475494921207428,0.08950989693403244,0.04977616895801808,0
2,0,0,0,0,2,-7.964128017425537,-7.964128017425537,1.0,1.0,0.0,0.013614519499242306,-0.4475494921207428,-0.4475494921207428,0.4475494921207428,0.08950989693403244,0.07358425616099272,0
3,0,0,0,0,3,-7.983715057373047,-7.983715057373047,1.0,1.0,0.0,0.013614519499242306,-0.4475494921207428,-0.4475494921207428,0.4475494921207428,0.08950989693403244,0.09724316592685357,0
4,0,0,0,0,4,-7.95556640625,-7.95556640625,1.0,1.0,0.0,0.013614519499242306,-0.4475494921207428,-0.4475494921207428,0.4475494921207428,0.08950989693403244,0.12002227410422857,0
5,0,0,0,0,5,-7.975594997406006,-7.975594997406006,1.0,1.0,0.0,0.013614519499242306,-0.4475494921207428,-0.4475494921207428,0.4475494921207428,0.08950989693403244,0.14285613952156814,0
6,0,0,0,0,6,-7.953029632568359,-7.953029632568359,1.0,1.0,0.0,0.013614519499242306,-0.4475494921207428,-0.4475494921207428,0.4475494921207428,0.08950989693403244,0.16496072735213269,0
7,0,0,0,0,7,-7.975139617919922,-7.975139617919922,1.0,1.0,0.0,0.013614519499242306,-0.4475494921207428,-0.4475494921207428,0.4475494921207428,0.08950989693403244,0.18672681555967968,0
8,0,0,0,0,8,-7.967917442321777,-7.967917442321777,1.0,1.0,0.0,0.013614519499242306,-0.4475494921207428,-0.4475494921207428,0.4475494921207428,0.08950989693403244,0.20780965104578453,0
9,0,0,0,0,9,-7.906516075134277,-7.906516075134277,1.0,1.0,0.0,0.013614519499242306,-0.4475494921207428,-0.4475494921207428,0.4475494921207428,0.08950989693403244,0.22846195186984516,0
10,0,0,0,0,10,-7.962530136108398,-7.962530136108398,1.0,1.0,0.0,0.013614519499242306,-0.4475494921207428,-0.4475494921207428,0.4475494921207428,0.08950989693403244,0.248759751952744,0
11,0,0,0,0,11,-7.981996059417725,-7.981996059417725,1.0,1.0,0.0,0.013614519499242306,-0.4475494921207428,-0.4475494921207428,0.4475494921207428,0.08950989693403244,0.2684553703037501,0
12,0,0,0,0,12,-7.948464870452881,-7.948464870452881,1.0,1.0,0.0,0.013614519499242306,-0.4475494921207428,-0.4475494921207428,0.4475494921207428,0.08950989693403244,0.2877069089811333,0
13,0,0,0,0,13,-7.987792015075684,-7.987792015075684,1.0,1.0,0.0,0.013614519499242306,-0.4475494921207428,-0.4475494921207428,0.4475494921207428,0.08950989693403244,0.3065513410649413,0
14,0,0,0,0,14,-7.982486724853516,-7.982486724853516,1.0,1.0,0.0,0.013614519499242306,-0.4475494921207428,-0.4475494921207428,0.4475494921207428,0.08950989693403244,0.3252239401293851,0
15,0,0,0,0,15,-7.965391159057617,-7.965391159057617,1.0,1.0,0.0,0.013614519499242306,-0.4475494921207428,-0.4475494921207428,0.4475494921207428,0.08950989693403244,0.3434548030016411,0
16,0,0,0,0,16,-8.036826133728027,-8.036826133728027,1.0,1.0,0.0,0.013614519499242306,-0.4475494921207428,-0.4475494921207428,0.4475494921207428,0.08950989693403244,0.3615169566867099,0
17,0,0,0,0,17,-7.968446254730225,-7.968446254730225,1.0,1.0,0.0,0.013614519499242306,-0.4475494921207428,-0.4475494921207428,0.4475494921207428,0.08950989693403244,0.3790526565262211,0
18,0,0,0,0,18,-7.963540077209473,-7.963540077209473,1.0,1.0,0.0,0.013614519499242306,-0.4475494921207428,-0.4475494921207428,0.4475494921207428,0.08950989693403244,0.3963032092824636,0
19,0,0,0,0,19,-7.9516706466674805,-7.9516706466674805,1.0,1.0,0.0,0.013614519499242306,-0.4475494921207428,-0.4475494921207428,0.4475494921207428,0.08950989693403244,0.41317324355369445,0
20,0,0,0,0,20,-7.979543209075928,-7.979543209075928,1.0,1.0,0.0,0.013614519499242306,-0.4475494921207428,-0.4475494921207428,0.4475494921207428,0.08950989693403244,0.42994824255609915,0
21,0,0,0,0,21,-7.972160339355469,-7.972160339355469,1.0,1.0,0.0,0.013614519499242306,-0.4475494921207428,-0.4475494921207428,0.4475494921207428,0.08950989693403244,0.44693144979306637,0
22,0,0,0,0,22,-7.98006010055542,-7.98006010055542,1.0,1.0,0.0,0.013614519499242306,-0.4475494921207428,-0.4475494921207428,0.4475494921207428,0.08950989693403244,0.46380577325419947,0
23,0,0,0,0,23,-7.933902740478516,-7.933902740478516,1.0,1.0,0.0,0.013614519499242306,-0.4475494921207428,-0.4475494921207428,0.4475494921207428,0.08950989693403244,0.4804350033189561,0
24,0,0,0,0,24,-7.971506118774414,-7.971506118774414,1.0,1.0,0.0,0.013614519499242306,-0.4475494921207428,-0.4475494921207428,0.4475494921207428,0.08950989693403244,0.4976176950237512,0
25,0,0,0,0,25,-7.875274658203125,-7.875274658203125,1.0,1.0,0.0,0.013614519499242306,-0.4475494921207428,-0.4475494921207428,0.4475494921207428,0.08950989693403244,0.514394580813832,0
26,0,0,0,0,26,-7.82548713684082,-7.82548713684082,1.0,1.0,0.0,0.013614519499242306,-0.4475494921207428,-0.4475494921207428,0.4475494921207428,0.08950989693403244,0.5311783904238376,0
27,0,0,0,0,27,-7.817006587982178,-7.817006587982178,1.0,1.0,0.0,0.013614519499242306,-0.4475494921207428,-0.4475494921207428,0.4475494921207428,0.08950989693403244,0.5484506447358863,0
28,0,0,0,0,28,-7.822070121765137,-7.822070121765137,1.0,1.0,0.0,0.013614519499242306,-0.4475494921207428,-0.4475494921207428,0.4475494921207428,0.08950989693403244,0.5660547302319312,0
29,0,0,0,0,29,-7.790505886077881,-7.790505886077881,1.0,1.0,0.0,0.013614519499242306,-0.4475494921207428,-0.4475494921207428,0.4475494921207428,0.08950989693403244,0.5843130562873229,0
30,0,0,0,0,30,-7.789450645446777,-7.789450645446777,1.0,1.0,0.0,0.013614519499242306,-0.4475494921207428,-0.4475494921207428,0.4475494921207428,0.08950989693403244,0.6029084079560116,0
31,0,0,0,0,31,-7.764726638793945,-7.764726638793945,1.0,1.0,0.0,0.013614519499242306,-0.4475494921207428,-0.4475494921207428,0.4475494921207428,0.08950989693403244,0.6224933568338981,0
32,0,0,0,0,32,-7.76171875,-7.76171875,1.0,1.0,0.0,0.013614519499242306,-0.4475494921207428,-0.4475494921207428,0.4475494921207428,0.08950989693403244,0.6431369672444055,0
33,0,0,0,0,33,-7.678706169128418,-7.678706169128418,1.0,1.0,0.0,0.013614519499242306,-0.4475494921207428,-0.4475494921207428,0.4475494921207428,0.08950989693403244,0.6643492415178672,0
34,0,0,0,0,34,-7.701931953430176,-7.701931953430176,1.0,1.0,0.0,0.013614519499242306,-0.4475494921207428,-0.4475494921207428,0.4475494921207428,0.08950989693403244,0.6869804701964428,0
35,0,0,0,0,35,-7.620372772216797,-7.620372772216797,1.0,1.0,0.0,0.013614519499242306,-0.4475494921207428,-0.4475494921207428,0.4475494921207428,0.08950989693403244,0.7113283638772233,0
